标志（#为普通文本，&为选项文本）,ID,场景,人名,头像框,立绘,演出,内容,跳转,音效,备注,影响数值,影响量,启动事件,需要数值,需求量,时间,音乐
#,1,,张海心,张海心-难受,,小剧场-张海心对话1关于月经,………………,,,CG渐入,,,,,,,
,2,,姜韶平,姜韶平-惊讶,,,天呐！海心，你脸色怎么这么差？！,,,,,,,,,,
,3,,,,,,发烧了？还是肚子疼？,,,,,,,,,,
,4,,张海心,张海心-难受,,,没……事……,,,,,,,,,,
,5,,,,,,…………每个月……都这样……,,,,,,,,,,
,6,,姜韶平,姜韶平-惊讶,,,我天，快躺下吧，赶紧拿个热水袋捂捂。,,,,,,,,,,
,7,,,,,,还有换洗衣服……卫生用品……红糖水……再去煲个粥……,,,,,,,,,,
,8,,张海心,张海心-难受,,,我不要……,,,,,,,,,,
,9,,姜韶平,姜韶平-严肃,,,听话，快躺下！,11,,,,,,,,,
,10,,,,,,,,,黑屏转场,,,,,,,
,11,,姜韶平,姜韶平-眯眼笑,,,呼呼…,,,,,,,,,,
,12,,,,,,呼呼…张嘴~啊——,,,,,,,,,,
,13,,张海心,张海心-脸红,,,…………好热。,,,,,,,,,,
,14,,,,,,,END,,,,,,,,,
,,1,,,,,,,,,,,,,,,
